iter	Passed	Remaining
421	1973	2702
422	1977	2697
423	1982	2693
424	1987	2688
425	1992	2684
426	1996	2679
427	2001	2675
428	2006	2670
429	2011	2665
430	2015	2661
431	2020	2656
432	2024	2651
433	2028	2645
434	2033	2640
435	2036	2634
436	2041	2629
437	2044	2623
438	2049	2618
439	2053	2613
440	2057	2607
441	2061	2602
442	2065	2596
443	2069	2591
444	2073	2585
445	2077	2581
446	2082	2575
447	2086	2570
448	2091	2566
449	2095	2560
450	2099	2555
451	2103	2550
452	2108	2545
453	2112	2540
454	2116	2534
455	2120	2529
456	2124	2524
457	2128	2519
458	2132	2513
459	2137	2508
460	2141	2503
461	2145	2497
462	2149	2492
463	2152	2486
464	2157	2481
465	2161	2476
466	2165	2471
467	2169	2465
468	2173	2460
469	2177	2455
470	2181	2450
471	2186	2445
472	2190	2440
473	2194	2435
474	2198	2429
475	2202	2424
476	2206	2419
477	2210	2414
478	2214	2408
479	2218	2403
480	2222	2398
481	2226	2393
482	2231	2388
483	2234	2382
484	2238	2377
485	2242	2372
486	2246	2366
487	2250	2361
488	2254	2356
489	2259	2351
490	2263	2346
491	2267	2340
492	2271	2335
493	2275	2330
494	2279	2325
495	2283	2319
496	2286	2314
497	2290	2308
498	2294	2304
499	2298	2298
500	2302	2293
501	2306	2287
502	2310	2282
503	2314	2277
504	2318	2272
505	2322	2267
506	2326	2262
507	2330	2257
508	2335	2252
509	2339	2247
510	2344	2243
511	2348	2238
512	2353	2233
513	2357	2228
514	2361	2223
515	2365	2218
516	2369	2213
517	2373	2208
518	2378	2203
519	2382	2198
520	2386	2193
521	2390	2189
522	2394	2184
523	2399	2179
524	2403	2174
525	2407	2169
526	2411	2164
527	2415	2159
528	2420	2154
529	2424	2149
530	2428	2144
531	2432	2139
532	2436	2134
533	2440	2129
534	2444	2125
535	2449	2120
536	2453	2115
537	2456	2109
538	2460	2104
539	2464	2099
540	2469	2094
541	2473	2089
542	2477	2084
543	2481	2080
544	2485	2075
545	2490	2070
546	2494	2065
547	2498	2060
548	2502	2055
549	2506	2050
550	2511	2046
551	2516	2042
552	2520	2037
553	2525	2032
554	2529	2028
555	2534	2023
556	2538	2019
557	2542	2014
558	2547	2009
559	2551	2004
560	2555	1999
561	2559	1994
562	2564	1990
563	2568	1985
564	2572	1980
565	2576	1975
566	2580	1970
567	2585	1966
568	2589	1961
569	2593	1956
570	2597	1951
571	2602	1947
572	2606	1942
573	2610	1937
574	2615	1933
575	2619	1928
576	2623	1923
577	2628	1918
578	2632	1914
579	2637	1909
580	2641	1904
581	2645	1899
582	2649	1894
583	2652	1889
584	2656	1884
585	2660	1879
586	2664	1874
587	2668	1869
588	2672	1865
589	2677	1860
590	2681	1855
591	2684	1850
592	2688	1845
593	2693	1840
594	2697	1835
595	2701	1830
596	2705	1826
597	2709	1821
598	2713	1816
599	2718	1812
600	2722	1807
601	2726	1802
602	2730	1797
603	2734	1792
604	2738	1788
605	2743	1783
606	2747	1778
607	2751	1773
608	2755	1769
609	2760	1764
610	2764	1759
611	2768	1755
612	2773	1750
613	2777	1746
614	2781	1741
615	2785	1736
616	2789	1731
617	2794	1727
618	2797	1722
619	2801	1717
620	2805	1712
621	2809	1707
622	2814	1702
623	2818	1698
624	2822	1693
625	2827	1689
626	2831	1684
627	2836	1680
628	2840	1675
629	2844	1670
630	2848	1666
631	2853	1661
632	2857	1656
633	2861	1651
634	2865	1646
635	2869	1642
636	2873	1637
637	2877	1632
638	2881	1627
639	2885	1622
640	2889	1618
641	2893	1613
642	2897	1608
643	2900	1603
644	2904	1598
645	2908	1593
646	2912	1589
647	2916	1584
648	2920	1579
649	2924	1574
650	2928	1570
651	2932	1565
652	2936	1560
653	2941	1555
654	2945	1551
655	2949	1546
656	2953	1542
657	2957	1537
658	2962	1532
659	2966	1528
660	2971	1523
661	2975	1519
662	2980	1514
663	2985	1510
664	2989	1506
665	2994	1501
666	2998	1497
667	3003	1492
668	3008	1488
669	3013	1484
670	3017	1479
671	3022	1475
672	3027	1470
673	3031	1466
674	3035	1461
675	3039	1456
676	3044	1452
677	3048	1447
678	3052	1443
679	3056	1438
680	3060	1433
681	3064	1428
682	3068	1424
683	3072	1419
684	3077	1415
685	3081	1410
686	3085	1405
687	3089	1401
688	3094	1396
689	3098	1391
690	3102	1387
691	3106	1382
692	3110	1378
693	3114	1373
694	3118	1368
695	3123	1364
696	3127	1359
697	3131	1355
698	3136	1350
699	3140	1345
700	3144	1341
701	3148	1336
702	3152	1332
703	3156	1327
704	3161	1322
705	3165	1318
706	3169	1313
707	3174	1309
708	3178	1304
709	3182	1299
710	3186	1295
711	3190	1290
712	3194	1285
713	3198	1281
714	3202	1276
715	3206	1271
716	3210	1267
717	3214	1262
718	3218	1258
719	3223	1253
720	3227	1249
721	3231	1244
722	3235	1239
723	3239	1235
724	3243	1230
725	3247	1225
726	3252	1221
727	3256	1216
728	3260	1211
729	3264	1207
730	3268	1202
731	3272	1197
732	3275	1193
733	3280	1188
734	3284	1184
735	3288	1179
736	3292	1174
737	3296	1170
738	3300	1165
739	3304	1161
740	3309	1156
741	3314	1152
742	3318	1147
743	3323	1143
744	3327	1138
745	3331	1134
746	3335	1129
747	3339	1125
748	3343	1120
749	3347	1115
750	3351	1111
751	3355	1106
752	3360	1102
753	3364	1097
754	3368	1093
755	3372	1088
756	3376	1083
757	3380	1079
758	3384	1074
759	3389	1070
760	3393	1065
761	3397	1061
762	3401	1056
763	3405	1052
764	3409	1047
765	3413	1042
766	3417	1038
767	3421	1033
768	3426	1029
769	3430	1024
770	3434	1020
771	3438	1015
772	3442	1010
773	3446	1006
774	3450	1001
775	3454	997
776	3459	992
777	3463	988
778	3467	983
779	3471	979
780	3475	974
781	3479	970
782	3483	965
783	3488	961
784	3492	956
785	3496	952
786	3501	947
787	3505	943
788	3509	938
789	3513	934
790	3518	929
791	3522	925
792	3526	920
793	3530	916
794	3534	911
795	3538	906
796	3543	902
797	3547	897
798	3551	893
799	3555	888
800	3559	884
801	3564	879
802	3568	875
803	3573	871
804	3577	866
805	3581	862
806	3586	857
807	3590	853
808	3595	848
809	3600	844
810	3604	840
811	3608	835
812	3612	831
813	3617	826
814	3621	822
815	3626	817
816	3631	813
817	3636	809
818	3641	804
819	3646	800
820	3651	796
821	3656	791
822	3661	787
823	3666	783
824	3670	778
825	3675	774
826	3680	769
827	3684	765
828	3688	760
829	3693	756
830	3698	752
831	3702	747
832	3706	743
833	3711	738
834	3716	734
835	3720	729
836	3724	725
837	3729	720
838	3733	716
839	3737	711
840	3742	707
841	3746	702
842	3750	698
843	3754	694
844	3758	689
845	3763	685
846	3767	680
847	3772	676
848	3776	671
849	3781	667
850	3785	662
851	3790	658
852	3794	653
853	3798	649
854	3803	644
855	3807	640
856	3812	636
857	3816	631
858	3820	627
859	3825	622
860	3829	618
861	3834	613
862	3838	609
863	3842	604
864	3847	600
865	3851	595
866	3856	591
867	3860	587
868	3865	582
869	3869	578
870	3873	573
871	3877	569
872	3881	564
873	3885	560
874	3889	555
875	3893	551
876	3898	546
877	3902	542
878	3906	537
879	3910	533
880	3914	528
881	3918	524
882	3922	519
883	3927	515
884	3931	510
885	3935	506
886	3939	501
887	3943	497
888	3947	492
889	3951	488
890	3955	483
891	3959	479
892	3964	475
893	3969	470
894	3973	466
895	3977	461
896	3981	457
897	3986	452
898	3991	448
899	3995	443
900	4000	439
901	4005	435
902	4010	430
903	4015	426
904	4021	422
905	4025	417
906	4030	413
907	4034	408
908	4038	404
909	4043	399
910	4047	395
911	4051	390
912	4055	386
913	4059	381
914	4063	377
915	4067	373
916	4072	368
917	4076	364
918	4080	359
919	4084	355
920	4088	350
921	4092	346
922	4096	341
923	4100	337
924	4104	332
925	4108	328
926	4112	323
927	4117	319
928	4121	314
929	4124	310
930	4128	305
931	4132	301
932	4136	297
933	4140	292
934	4144	288
935	4148	283
936	4152	279
937	4156	274
938	4160	270
939	4164	265
940	4168	261
941	4172	256
942	4176	252
943	4180	247
944	4184	243
945	4188	239
946	4192	234
947	4196	230
948	4200	225
949	4204	221
950	4208	216
951	4212	212
952	4216	207
953	4220	203
954	4224	199
955	4228	194
956	4232	190
957	4236	185
958	4241	181
959	4245	176
960	4249	172
961	4253	168
962	4258	163
963	4262	159
964	4266	154
965	4270	150
966	4274	145
967	4278	141
968	4281	136
969	4285	132
970	4290	128
971	4294	123
972	4299	119
973	4303	114
974	4307	110
975	4311	106
976	4315	101
977	4319	97
978	4324	92
979	4328	88
980	4332	83
981	4336	79
982	4340	75
983	4344	70
984	4348	66
985	4352	61
986	4356	57
987	4360	52
988	4364	48
989	4369	44
990	4373	39
991	4377	35
992	4381	30
993	4385	26
994	4389	22
995	4393	17
996	4398	13
997	4402	8
998	4406	4
999	4410	0
