iter	RMSE
281	2298.833662
282	2296.831672
283	2295.225062
284	2293.80021
285	2292.176416
286	2289.239401
287	2287.319989
288	2283.575075
289	2281.884306
290	2279.725976
291	2278.648901
292	2276.558597
293	2274.607495
294	2272.648717
295	2271.304087
296	2268.975016
297	2267.217838
298	2266.445878
299	2265.925069
300	2265.287724
301	2263.697016
302	2262.149199
303	2261.571526
304	2259.280166
305	2258.103438
306	2257.258681
307	2254.061811
308	2251.860884
309	2251.152376
310	2250.071514
311	2247.980231
312	2246.453039
313	2243.904002
314	2240.707888
315	2239.245084
316	2236.654483
317	2234.688075
318	2233.977108
319	2233.098472
320	2232.361646
321	2232.198875
322	2230.694337
323	2229.363925
324	2227.748608
325	2227.571248
326	2226.217515
327	2225.169439
328	2223.273281
329	2221.031858
330	2219.53157
331	2217.971306
332	2216.069781
333	2213.923698
334	2213.140271
335	2211.591571
336	2209.720744
337	2207.965889
338	2206.386194
339	2204.801685
340	2202.74087
341	2200.813076
342	2199.960698
343	2198.375134
344	2197.240448
345	2194.976888
346	2193.233806
347	2192.679458
348	2191.531344
349	2190.310579
350	2189.284151
351	2188.486457
352	2186.277086
353	2184.991743
354	2183.119408
355	2181.620538
356	2180.513964
357	2178.820564
358	2177.737393
359	2176.395354
360	2176.358446
361	2174.744266
362	2173.352459
363	2171.12343
364	2170.07476
365	2168.503919
366	2166.577044
367	2165.27481
368	2163.029488
369	2161.985035
370	2160.882188
371	2159.590303
372	2158.491411
373	2157.621903
374	2155.729559
375	2154.147203
376	2154.031379
377	2153.747552
378	2153.57693
379	2152.328017
380	2151.760707
381	2150.851352
382	2149.871851
383	2148.877123
384	2147.147571
385	2145.880383
386	2145.111637
387	2143.697319
388	2142.832861
389	2140.987724
390	2139.612587
391	2139.002455
392	2137.364909
393	2136.757426
394	2135.439528
395	2134.576333
396	2134.560125
397	2133.373247
398	2133.316409
399	2132.20839
400	2131.224732
401	2130.227262
402	2129.081436
403	2127.426074
404	2126.669028
405	2125.802312
406	2124.463204
407	2123.57221
408	2121.589269
409	2121.004511
410	2120.224587
411	2118.722095
412	2117.947562
413	2116.913631
414	2115.234503
415	2114.432982
416	2113.76845
417	2112.938164
418	2111.88822
419	2109.823354
420	2108.752159
421	2108.700396
422	2107.645982
423	2107.076067
424	2105.638447
425	2104.471168
426	2102.913898
427	2102.006906
428	2100.835412
429	2099.982406
430	2098.862946
431	2098.070413
432	2096.633988
433	2095.751474
434	2094.446757
435	2094.000548
436	2092.789475
437	2092.766528
438	2091.824305
439	2090.270799
440	2089.309683
441	2089.288689
442	2089.276161
443	2088.450009
444	2087.376648
445	2086.215076
446	2084.439665
447	2083.277013
448	2081.748952
449	2080.983304
450	2080.11279
451	2078.680778
452	2077.759938
453	2077.374103
454	2076.391605
455	2074.81368
456	2074.040677
457	2072.792357
458	2072.032198
459	2070.463294
460	2069.29071
461	2069.278666
462	2068.354567
463	2067.745508
464	2066.951183
465	2065.695475
466	2065.683989
467	2063.836996
468	2062.937423
469	2062.052261
470	2061.412613
471	2060.412656
472	2059.761422
473	2058.563577
474	2057.974282
475	2056.953884
476	2056.211932
477	2056.109483
478	2056.08785
479	2054.853194
480	2053.765908
481	2053.252341
482	2051.82253
483	2051.361465
484	2050.893027
485	2050.348783
486	2049.75062
487	2049.011057
488	2048.444343
489	2047.761433
490	2046.534659
491	2045.774946
492	2044.801123
493	2044.58128
494	2043.61174
495	2042.467076
496	2042.125486
497	2041.778842
498	2040.574601
499	2040.245609
500	2039.922929
501	2039.815386
502	2038.532392
503	2037.828023
504	2037.138682
505	2036.651413
506	2035.32006
507	2034.593531
508	2033.574214
509	2032.613948
510	2031.429892
511	2030.681383
512	2029.442108
513	2029.150049
514	2028.117962
515	2027.226335
516	2026.50934
517	2025.317157
518	2024.631466
519	2023.547332
520	2022.374398
521	2021.843751
522	2020.811241
523	2019.786342
524	2018.733807
525	2017.787614
526	2016.591031
527	2016.00538
528	2014.85165
529	2013.93648
530	2013.364605
531	2012.508111
532	2011.912371
533	2010.964328
534	2010.017759
535	2009.285051
536	2008.503795
537	2008.491944
538	2007.914127
539	2007.381844
540	2006.814998
541	2005.89575
542	2005.083812
543	2004.20966
544	2003.537591
545	2002.858426
546	2002.069158
547	2001.635132
548	2001.35428
549	2000.885914
550	2000.081552
551	1999.402029
552	1998.594941
553	1998.110473
554	1997.694543
555	1996.915355
556	1995.96479
557	1995.066367
558	1994.509218
559	1993.709521
560	1993.382351
561	1992.727688
562	1991.646568
563	1990.530811
564	1989.903496
565	1989.265485
566	1988.579696
567	1987.753017
568	1986.780071
569	1986.411523
570	1985.69087
571	1985.060998
572	1984.450737
573	1983.308881
574	1982.086839
575	1981.142738
576	1980.120166
577	1979.006061
578	1978.44566
579	1977.318545
580	1976.812069
581	1976.517562
582	1975.735652
583	1975.468313
584	1974.883091
585	1974.597185
586	1973.989655
587	1973.674938
588	1973.322519
589	1972.945584
590	1972.076604
591	1971.792971
592	1971.625938
593	1970.687174
594	1970.325745
595	1969.30757
596	1968.300543
597	1967.5973
598	1966.508649
599	1966.087965
600	1965.757627
601	1965.291575
602	1964.830062
603	1964.45953
604	1964.001717
605	1963.439647
606	1962.464481
607	1961.715475
608	1960.994618
609	1960.492986
610	1960.094419
611	1959.259391
612	1958.883419
613	1958.449563
614	1957.729803
615	1957.229307
616	1956.740429
617	1956.006609
618	1955.387147
619	1954.858956
620	1954.601812
621	1954.591037
622	1954.102439
623	1953.676801
624	1952.893195
625	1952.530894
626	1951.741297
627	1951.026453
628	1950.742258
629	1950.139132
630	1949.369242
631	1948.785383
632	1948.276519
633	1948.22381
634	1947.38364
635	1947.018796
636	1946.407353
637	1945.86961
638	1945.46775
639	1945.205404
640	1944.492969
641	1944.087627
642	1942.75535
643	1942.744195
644	1942.401754
645	1941.981934
646	1940.93366
647	1940.691215
648	1940.250414
649	1939.807677
650	1939.303365
651	1939.257387
652	1938.645445
653	1937.954385
654	1937.431908
655	1936.336305
656	1935.686471
657	1935.108287
658	1934.214096
659	1933.774837
660	1933.463814
661	1932.673456
662	1931.777634
663	1931.266457
664	1930.610401
665	1930.163137
666	1929.68159
667	1929.367714
668	1929.101152
669	1928.405917
670	1928.353447
671	1927.858363
672	1927.194589
673	1926.932173
674	1926.48867
675	1926.072035
676	1924.804965
677	1924.266819
678	1923.540137
679	1923.115593
680	1922.742614
681	1922.30777
682	1921.704861
683	1921.128457
684	1920.542282
685	1919.908623
686	1919.447158
687	1918.809467
688	1918.217224
689	1917.747393
690	1917.248564
691	1916.409337
692	1915.640403
693	1914.968744
694	1914.740426
695	1914.021254
696	1913.726531
697	1913.145739
698	1912.747622
699	1912.016362
700	1911.442569
701	1910.984712
702	1910.392942
703	1910.160631
704	1909.755747
705	1909.367471
706	1908.894556
707	1908.249672
708	1907.879534
709	1907.46763
710	1906.773973
711	1906.114751
712	1905.430721
713	1904.992728
714	1904.74691
715	1904.211309
716	1903.472798
717	1902.885263
718	1902.246575
719	1901.452854
720	1900.856323
721	1900.530905
722	1899.820949
723	1899.581562
724	1899.343092
725	1899.056994
726	1898.46654
727	1898.243612
728	1897.69522
729	1897.393226
730	1897.071735
731	1896.779175
732	1896.299606
733	1895.787864
734	1894.640245
735	1894.262865
736	1893.726668
737	1893.366529
738	1892.787179
739	1892.377793
740	1891.931525
741	1891.421444
742	1891.012
743	1890.720226
744	1890.297845
745	1889.963405
746	1889.643009
747	1889.424793
748	1889.166538
749	1888.957133
750	1888.46568
751	1887.945105
752	1887.447173
753	1887.304359
754	1886.616849
755	1886.097066
756	1885.777671
757	1885.133933
758	1884.666056
759	1884.308358
760	1883.913962
761	1883.396105
762	1882.81295
763	1882.263794
764	1881.701678
765	1881.558454
766	1881.216747
767	1880.691631
768	1879.907475
769	1879.504913
770	1879.177768
771	1878.765285
772	1878.74566
773	1878.431817
774	1877.876073
775	1877.581755
776	1877.0389
777	1876.438982
778	1876.163184
779	1875.497984
780	1875.164166
781	1874.923366
782	1874.647934
783	1874.019001
784	1873.31747
785	1872.59372
786	1872.140086
787	1871.638347
788	1871.092452
789	1870.655483
790	1870.055892
791	1869.53386
792	1868.987149
793	1868.291234
794	1868.013349
795	1867.677231
796	1867.174532
797	1866.800642
798	1866.599855
799	1865.940357
800	1865.509762
801	1865.137992
802	1864.593385
803	1864.175871
804	1864.16329
805	1863.905602
806	1863.768568
807	1863.271311
808	1862.906184
809	1862.358664
810	1861.736197
811	1861.176231
812	1860.980681
813	1860.608964
814	1860.103619
815	1859.405884
816	1859.126708
817	1858.537506
818	1858.133035
819	1857.656481
820	1857.305619
821	1856.85455
822	1856.253544
823	1855.867832
824	1855.616231
825	1855.276236
826	1855.069148
827	1854.619871
828	1854.521238
829	1854.041494
830	1853.548315
831	1853.442562
832	1853.170282
833	1852.962865
834	1852.935828
835	1852.604743
836	1852.415856
837	1851.836607
838	1851.322606
839	1850.863572
840	1850.617569
841	1850.092503
842	1849.777788
843	1849.362256
844	1849.031328
845	1848.73966
846	1848.348084
847	1847.945762
848	1847.671009
849	1846.997197
850	1846.695415
851	1846.453854
852	1846.272264
853	1845.513657
854	1845.035656
855	1844.785722
856	1844.506012
857	1844.25146
858	1844.00092
859	1843.819779
860	1843.553404
861	1842.973076
862	1842.598185
863	1842.346401
864	1842.221003
865	1841.844095
866	1841.423299
867	1840.984508
868	1840.560462
869	1840.193892
870	1839.973533
871	1839.680095
872	1839.673733
873	1838.959188
874	1838.649366
875	1838.495274
876	1838.022571
877	1837.540943
878	1837.309771
879	1836.859254
880	1836.301918
881	1836.036438
882	1835.618675
883	1835.304015
884	1834.835498
885	1834.317333
886	1833.934511
887	1833.816662
888	1833.566178
889	1833.337225
890	1833.073787
891	1832.688503
892	1832.288211
893	1831.699987
894	1831.294897
895	1830.723029
896	1830.052769
897	1829.809625
898	1829.314807
899	1829.04075
900	1828.73618
901	1828.588341
902	1828.05883
903	1827.486781
904	1827.214741
905	1827.085435
906	1826.889733
907	1826.884556
908	1826.68069
909	1826.262748
910	1826.088608
911	1825.860659
912	1825.708573
913	1825.2415
914	1824.984937
915	1824.863952
916	1824.527425
917	1824.305273
918	1824.076385
919	1823.755077
920	1823.416774
921	1822.941377
922	1822.889667
923	1822.696624
924	1822.238125
925	1822.080023
926	1821.679214
927	1821.209615
928	1820.800022
929	1820.782514
930	1820.546498
931	1820.24247
932	1819.850907
933	1819.40161
934	1818.894922
935	1818.722774
936	1818.611611
937	1818.292927
938	1818.040281
939	1817.736605
940	1817.497899
941	1817.167587
942	1816.570561
943	1816.412729
944	1816.251981
945	1816.178012
946	1815.685297
947	1815.615466
948	1815.346855
949	1815.13597
950	1814.692368
951	1814.394034
952	1814.026244
953	1813.71718
954	1813.639361
955	1813.426501
956	1812.45513
957	1812.068791
958	1811.882511
959	1811.685691
960	1811.346753
961	1811.024427
962	1810.726897
963	1810.449625
964	1810.070125
965	1808.626387
966	1808.311646
967	1807.973156
968	1807.957618
969	1807.796742
970	1807.526562
971	1807.245099
972	1807.212662
973	1806.899551
974	1806.671739
975	1806.286921
976	1806.03641
977	1805.824457
978	1805.29372
979	1804.850741
980	1804.599868
981	1804.36781
982	1804.024977
983	1803.789275
984	1803.537166
985	1803.370069
986	1803.17349
987	1802.902988
988	1802.634983
989	1802.209906
990	1801.998645
991	1801.781629
992	1801.409515
993	1801.11025
994	1800.724949
995	1800.347974
996	1799.967419
997	1799.519943
998	1798.992821
999	1798.659182
